teamName,teamID,salaryTeam,yearID
Los Angeles Dodgers,LAN,259119625,2017
Boston Red Sox,BOS,209872508,2017
New York Yankees,NYA,209690952,2017
San Francisco Giants,SFN,189806809,2017
Detroit Tigers,DET,188498884,2017
Washington Nationals,WAS,182338854,2017
Toronto Blue Jays,TOR,175617487,2017
Baltimore Orioles,BAL,175349127,2017
Chicago Cubs,CHN,172092536,2017
Los Angeles Angels,LAA,166161209,2017
Texas Rangers,TEX,163350840,2017
Seattle Mariners,SEA,161397330,2017
Kansas City Royals,KCA,148227822,2017
St. Louis Cardinals,SLN,145256085,2017
New York Mets,NYN,143990158,2017
Colorado Rockies,COL,139324341,2017
Houston Astros,HOU,138709677,2017
Cleveland Indians,CLE,131958928,2017
Minnesota Twins,MIN,121048871,2017
Miami Marlins,MIA,110765599,2017
Atlanta Braves,ATL,105218575,2017
Philadelphia Phillies,PHI,104020808,2017
Arizona Diamondbacks,ARI,102619475,2017
Pittsburgh Pirates,PIT,98203030,2017
Cincinnati Reds,CIN,96436003,2017
Chicago White Sox,CHA,86382688,2017
San Diego Padres,SDN,77921678,2017
Tampa Bay Rays,TBA,77811205,2017
Oakland Athletics,OAK,73477080,2017
Milwaukee Brewers,MIL,68945179,2017
Boston Red Sox,BOS,227398860,2018
San Francisco Giants,SFN,205665348,2018
Los Angeles Dodgers,LAN,199582045,2018
Chicago Cubs,CHN,194259933,2018
Washington Nationals,WAS,181382609,2018
New York Yankees,NYA,180098151,2018
Los Angeles Angels,LAA,173717599,2018
St. Louis Cardinals,SLN,163784311,2018
Houston Astros,HOU,163524216,2018
Seattle Mariners,SEA,160993827,2018
Toronto Blue Jays,TOR,150946147,2018
New York Mets,NYN,150187987,2018
Colorado Rockies,COL,143968544,2018
Arizona Diamondbacks,ARI,143324597,2018
Cleveland Indians,CLE,142804703,2018
Texas Rangers,TEX,140625018,2018
Detroit Tigers,DET,130959889,2018
Atlanta Braves,ATL,130649395,2018
Baltimore Orioles,BAL,130467027,2018
Kansas City Royals,KCA,129944821,2018
Minnesota Twins,MIN,115509520,2018
Milwaukee Brewers,MIL,108982016,2018
Philadelphia Phillies,PHI,104297471,2018
San Diego Padres,SDN,103843635,2018
Cincinnati Reds,CIN,100305768,2018
Miami Marlins,MIA,91817860,2018
Pittsburgh Pirates,PIT,91025861,2018
Oakland Athletics,OAK,80315288,2018
Chicago White Sox,CHA,71839808,2018
Tampa Bay Rays,TBA,68810167,2018
Boston Red Sox,BOS,229146106,2019
Chicago Cubs,CHN,218090085,2019
New York Yankees,NYA,218019037,2019
Los Angeles Dodgers,LAN,200600814,2019
San Francisco Giants,SFN,178582126,2019
St. Louis Cardinals,SLN,174317164,2019
Houston Astros,HOU,168804925,2019
Washington Nationals,WAS,168307808,2019
Los Angeles Angels,LAA,160270385,2019
New York Mets,NYN,160023984,2019
Philadelphia Phillies,PHI,157192244,2019
Colorado Rockies,COL,156582629,2019
Seattle Mariners,SEA,143941293,2019
Atlanta Braves,ATL,137947963,2019
Texas Rangers,TEX,128838766,2019
Milwaukee Brewers,MIL,128614019,2019
Cincinnati Reds,CIN,128391569,2019
Minnesota Twins,MIN,124756003,2019
Cleveland Indians,CLE,121578675,2019
Arizona Diamondbacks,ARI,118377905,2019
Detroit Tigers,DET,114631137,2019
Toronto Blue Jays,TOR,111371067,2019
San Diego Padres,SDN,103554790,2019
Kansas City Royals,KCA,100773003,2019
Oakland Athletics,OAK,92894531,2019
Chicago White Sox,CHA,91371201,2019
Miami Marlins,MIA,75151271,2019
Baltimore Orioles,BAL,73370109,2019
Pittsburgh Pirates,PIT,72731474,2019
Tampa Bay Rays,TBA,64178722,2019
